SAP+NOME,UF,Semana,Ano,preço2,Mg %,Margem Líquida Real %,Preço,Vendas Reais Qtde,Vendas Reais $,Margem Líquida Real $,Venda Líquida Real $,CMV,CMV/QTD
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,25,2017,3.99,0.5012742099898064,50.127420998980654,3.99,9.0,35.910000000000004,14.72,29.43,14.71,1.6344444444444446
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,26,2017,4.656666666666667,0.5835063434264888,58.3506343426489,4.656666666666667,5.0,21.950000000000003,10.11,17.990000000000002,7.88,1.576
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,27,2017,4.590000000000001,0.567977389470851,56.7977389470851,4.590000000000001,6.0,27.94,13.129999999999999,22.9,9.77,1.6283333333333332
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,28,2017,4.99,0.575794621026895,57.5794621026895,4.99,2.0,9.98,4.71,8.18,3.47,1.735
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,29,2017,4.99,0.5745721271393645,57.45721271393645,4.99,2.0,9.98,4.7,8.18,3.48,1.74
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,30,2017,4.99,0.550122249388753,55.0122249388753,4.99,1.0,4.99,2.25,4.09,1.84,1.84
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,31,2017,4.99,0.5488997555012225,54.889975550122244,4.99,2.0,9.98,4.49,8.18,3.6900000000000004,1.8450000000000002
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,32,2017,4.99,0.547677261613692,54.7677261613692,4.99,1.0,4.99,2.24,4.09,1.85,1.85
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,33,2017,4.99,0.6222493887530565,62.224938875305654,4.99,2.0,9.98,5.09,8.18,3.09,1.545
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,34,2017,4.99,0.550122249388753,55.0122249388753,4.99,1.0,4.99,2.25,4.09,1.84,1.84
